index,datetime,symbol,signal,strategy
169,2023-01-14 07:19:40.753874-05:00,ARDX,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
170,2023-01-14 07:19:44.585743-05:00,ARL,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
171,2023-01-14 07:19:48.399017-05:00,ARL,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
172,2023-01-14 07:19:52.223035-05:00,ARL,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
173,2023-01-14 07:19:55.881634-05:00,ASC,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
174,2023-01-14 07:19:59.914497-05:00,ASC,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
175,2023-01-14 07:20:05.629043-05:00,ASC,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
176,2023-01-14 07:20:10.079772-05:00,ASRT,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
177,2023-01-14 07:20:14.261533-05:00,ASRT,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
178,2023-01-14 07:20:17.958122-05:00,ASRT,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
179,2023-01-14 07:20:21.771346-05:00,ASUR,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
180,2023-01-14 07:20:25.729256-05:00,ASUR,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
181,2023-01-14 07:20:29.693742-05:00,ASUR,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
182,2023-01-14 07:20:33.678300-05:00,ATI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
183,2023-01-14 07:20:37.586632-05:00,ATI,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
184,2023-01-14 07:20:41.566007-05:00,ATI,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
185,2023-01-14 07:20:45.588911-05:00,ATXS,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
186,2023-01-14 07:20:49.525017-05:00,ATXS,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
187,2023-01-14 07:20:53.313908-05:00,ATXS,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
188,2023-01-14 07:20:57.582635-05:00,AVEO,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
189,2023-01-14 07:21:02.133205-05:00,AVEO,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
190,2023-01-14 07:21:06.438617-05:00,AVEO,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
191,2023-01-14 07:21:10.388723-05:00,AVTE,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
192,2023-01-14 07:21:14.285779-05:00,AVTE,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
193,2023-01-14 07:21:18.266947-05:00,AVTE,BUY,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
194,2023-01-14 07:21:22.278363-05:00,BELFB,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
195,2023-01-14 07:21:26.276794-05:00,BELFB,SELL,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
196,2023-01-14 07:21:31.464808-05:00,BELFB,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
197,2023-01-14 07:21:35.360193-05:00,CAAP,HOLD,"['model_dqn_GOOG_50', 'model_t-dqn_GOOG_10', 'model_double-dqn_GOOG_50']"
